"Frame height (cm)","MfgDimNames","50","52","54","56","58","60","62","Measuring mode"
"Seattube length","A1","549","569","591","616","630","645","660","nominal"
"Seattube length","A2","490","520","540","560","580","600","620","bottom bracket to top of seattube"
"Seattube length","A3","457","486","505","525","545","564","584","bottom bracket to top of top tube"
"Top tube length","B","509","516","527","536","557","574","587",""
"Top tube horizontal","C","499","527","539","551","572","588","600","center headtube to center seatpost/seattube"
"Headtube angle (°)","D","70.5","71","71.5","72","72","72","72",""
"Seattube angle (°)","E","75.5","74.5","74","73","73","73","73",""
"Wheelbase","F","1006","1010","1011","1007","1027","1043","1055",""
"Chainstay length","G","430","430","430","430","430","430","430",""
"Headtube length","H","115","130","145","160","175","190","205",""
"Bottom bracket drop","I","62","62","65","70","70","70","70","distance of bottom bracket to hub level"
"Bottom bracket height","K","288","288","285","280","280","280","280","distance to ground"
"Fork rake","L","45","45","45","45","45","45","45",""
"Slope","M","86","76","77","82","77","73","68","top tube level distance front to rear"
"Wheel radius","N","350","350","350","350","350","350","350","incl. tires"
"Standover height","O","756","779","795","808","825","843","860","top of top tube to ground*"
"Fork build height","P","401","401","401","401","401","401","401","incl. lower headset cups"
"Front wheel - bottom bracket","Q","588","593","595","591","612","628","640",""
"Reach","R","371","375","376","372","388","399","407","center bottom bracket to center headtube, horizontal"
"Stack","S","532","548","567","588","603","617","631","center bottom bracket to center headtube, vertical"
"Stack/Reach (1:x)","","1.43","1.46","1.51","1.58","1.55","1.55","1.55","ratio stack to reach"
"Seatpost diameter","","27.2","27.2","27.2","27.2","27.2","27.2","27.2",""
"Stem length","","80","90","100","100","110","110","120","center-center"
"Stem angle (°)","","-6","-6","-6","-6","-6","-6","-6",""
"Handlebar diameter","","31.8","31.8","31.8","31.8","31.8","31.8","31.8",""
"Assembled spacers","","","","","","","","",""
"Handlebar width","","400","400","420","420","420","440","440","center-center"
"Cranklength","","170","170","172.5","172.5","175","175","175",""